sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
77489017,41.633499,-121.67667,1705.1,3826.25,1.06,2.01,36.91,-152.37,41.6333769,-121.6777783,1706.33
2713 ngs,41.666668,-121.67667,1684.9,3830.6,0.24,1.62,32.05,-156.17,41.6665454,-121.6777782,1686.1
27130265,41.666668,-121.67667,1684.9,3830.62,0.24,1.62,32.07,-156.15,41.6665454,-121.6777782,1686.1
77482017,41.610001,-121.6755,1820.8,3804.5,1.49,2.58,52.93,-148.33,41.6098793,-121.6766083,1822.06
5675 145,41.579334,-121.67416,1977.2,3768.37,0.26,2.74,67.76,-152.1,41.5792128,-121.6752683,1978.46
77483017,41.621166,-121.67367,1789.8,3811.94,0.31,2.34,49.81,-149.39,41.6210441,-121.6747782,1791.05
77485017,41.590668,-121.671,1991.9,3765.75,0.25,2.99,68.65,-152.61,41.5905466,-121.6721082,1993.17
77486017,41.666668,-121.671,1688.7,3831.19,0.1,1.62,33.81,-154.98,41.6665454,-121.6721081,1689.9
77487017,41.574165,-121.67067,1978.6,3769,0.26,2.74,69.28,-150.73,41.5740439,-121.6717782,1979.86
2713 ngs,41.579334,-121.66983,1977.2,3769.21,0.51,2.79,68.6,-150.96,41.5792128,-121.6709381,1978.46
77484017,41.635666,-121.6675,1778.5,3815.64,0.11,2.12,48.73,-149.63,41.6355439,-121.668608,1779.74
77484235,41.549999,-121.66717,1853.5,3792.14,0.5,2.25,56.04,-150.2,41.5498783,-121.6682781,1854.74
6349 ngs,41.598,-121.66583,2038.7,3759.58,0.2,3.57,76.25,-149.73,41.5978785,-121.666938,2039.98
6349 ngs,41.594833,-121.66483,2039,3759.6,0.15,3.44,76.64,-149.54,41.5947116,-121.665938,2040.28
77486017,41.581665,-121.66467,2022.8,3756.69,0.69,3.08,69.92,-154.27,41.5815438,-121.665778,2024.07
6349MH05,41.591335,-121.6645,2046,3757.92,0.13,3.42,77.43,-149.58,41.5912137,-121.665608,2047.27
6349MH02,41.585167,-121.6625,2078.8,3746.22,0.36,3.67,76.4,-153.8,41.5850458,-121.6636079,2080.07
6349 ngs,41.612335,-121.6625,1971.4,3773.49,0.26,3.28,68.13,-150.54,41.6122133,-121.6636079,1972.67
6349MH04,41.590332,-121.66183,2060.3,3755.46,0.18,3.5,79.47,-149.01,41.5902107,-121.6629379,2061.58
6349 ngs,41.587502,-121.66133,2067.5,3752.98,0.18,3.53,79.47,-149.79,41.5873807,-121.6624379,2068.78
6349 ngs,41.581501,-121.66084,2076.4,3748.6,0.59,3.59,78.37,-151.42,41.5813798,-121.6619479,2077.67
6349MH08,41.596668,-121.66,2067.5,3754.36,0.15,3.7,80.02,-149.1,41.5965466,-121.6611078,2068.78
77486017,41.625668,-121.65967,1798.2,3804.69,1.53,2.73,44.75,-153.79,41.6255462,-121.6607778,1799.46
77480017,41.658001,-121.65967,1715.5,3825.69,0.54,1.82,37.35,-153.8,41.6578786,-121.6607778,1716.72
77489017,41.652668,-121.659,1750.4,3819.64,0.14,1.96,42.54,-152.79,41.6525457,-121.6601078,1751.63
6349 ngs,41.598999,-121.65867,2060,3755.69,0.3,3.64,78.83,-149.36,41.5988776,-121.6597778,2061.29
5675 ngs,41.694,-121.6585,1541.9,3858.85,0.07,1.18,13.77,-159.01,41.6938771,-121.6596077,1543.08
6349MH12,41.605835,-121.65833,2025.8,3765.16,0.59,3.49,77.15,-147.07,41.6057135,-121.6594378,2027.08
6349 ngs,41.610001,-121.65833,1991,3769.96,0.39,3.32,70.85,-149.84,41.6098794,-121.6594378,1992.28
