#sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
5059   6,47.993332,-123.39484,1002.7,4641.43,4.33,9.89,61.07,-38.08,47.9931455,-123.396135,1003.85
2267 ngs,47.005833,-123.38834,17.4,4791.6,0.19,0.04,-3.51,-5.26,47.005651,-123.3896084,18.42
22670002,47.005833,-123.38834,17.4,4791.6,0.19,0.04,-3.51,-5.26,47.005651,-123.3896084,18.42
5059 ngs,47.920834,-123.38333,1965.9,4403.9,4.57,22.6,126.95,-67.47,47.920647,-123.3846223,1967.16
2267 ngs,47.113335,-123.38167,90.5,4795,0.51,0.05,12.72,3.02,47.1131504,-123.3829393,91.54
22670055,47.113335,-123.38167,90.5,4795.04,0.51,0.05,12.76,3.06,47.1131504,-123.3829393,91.54
5198 ngs,48.035831,-123.38167,395.6,4787.8,0.73,5.16,16.42,-22.5,48.035644,-123.3829651,396.69
51980018,48.035831,-123.38167,395.6,4787.75,0.73,5.16,16.37,-22.55,48.035644,-123.3829651,396.69
51980095,47.9725,-123.38084,1103.4,4619.1,9.13,10.05,71.66,-33.87,47.9723135,-123.3821339,1104.58
35440000,47.113335,-123.38,91.1,4795.31,0.38,0.05,13.22,3.32,47.1131504,-123.3812692,92.14
3544 ngs,47.113335,-123.37984,91.1,4795.3,0.36,0.05,13.21,3.29,47.1131504,-123.3811092,92.14
22670159,47.287998,-123.377,190.2,4786.24,0.32,1.87,18.94,-0.42,47.2878115,-123.3782715,191.26
2267 ngs,47.287834,-123.37683,190.2,4786.21,0.29,1.85,18.93,-0.49,47.2876475,-123.3781015,191.26
2267 ngs,47.548332,-123.37566,454.8,4682.6,2.77,10.74,-26.59,-64.58,47.5481437,-123.3769387,455.96
22670181,47.5485,-123.37566,454.8,4682.58,2.73,10.77,-26.62,-64.63,47.5483117,-123.3769387,455.96
2267 ngs,47.564335,-123.37466,472.4,4672.1,2.71,13.12,-33.1,-70.77,47.5641467,-123.3759392,473.58
22671070,47.564499,-123.37466,472.4,4672.07,2.74,13.15,-33.15,-70.75,47.5643107,-123.3759392,473.58
22672013,47.791668,-123.3745,1605.4,4459.73,5.33,9.85,83.32,-82.66,47.79148,-123.3757878,1606.69
2267 ngs,47.791668,-123.37434,1605.4,4459.71,5.51,9.81,83.3,-82.54,47.79148,-123.3756278,1606.69
2267 ngs,47.575832,-123.37133,466.3,4664.5,7.01,17.29,-43.62,-72.13,47.5756438,-123.3726096,467.49
22671071,47.576,-123.37133,466.3,4664.5,7.14,17.35,-43.64,-71.95,47.5758118,-123.3726096,467.49
5059 ngs,48.012665,-123.3705,773.2,4699,7.39,8.69,46.14,-25.26,48.012478,-123.3717946,774.31
4506 ngs,47.018333,-123.37033,33.5,4790.4,0.34,0.02,-0.88,-4.32,47.0181507,-123.3715978,34.52
51980079,47.900833,-123.365,1992.2,4391.35,7.67,22.19,124.3,-70.37,47.900646,-123.3662911,1993.5
22670160,47.268166,-123.365,138.1,4781.03,0.19,0.68,-0.54,-15.33,47.2679799,-123.3662706,139.15
5198 ngs,47.900833,-123.36483,1992.2,4391.3,7.84,22.19,124.25,-70.25,47.900646,-123.3661211,1993.5
2267 ngs,47.268002,-123.36483,138.1,4781,0.19,0.67,-0.56,-15.35,47.2678159,-123.3661006,139.15
2267 ngs,47.534332,-123.36467,351.1,4710,1.07,13.51,-29.9,-55.1,47.5341439,-123.3659477,352.26
22670180,47.5345,-123.36467,351.1,4709.97,1.14,13.42,-29.95,-55.16,47.5343119,-123.3659477,352.26
4506 ngs,48.037834,-123.36367,397.6,4785.3,1.14,4.11,14.36,-25.43,48.0376471,-123.3649646,398.69
2267 ngs,47.289333,-123.35583,178.9,4790.4,0.1,1.89,19.5,1.21,47.2891466,-123.3571009,179.96
22670158,47.289333,-123.35583,178.9,4790.46,0.1,1.89,19.56,1.27,47.2891466,-123.3571009,179.96
35440000,47.236668,-123.35,138.1,4776.71,0.02,0.24,-2.02,-17.42,47.23648,-123.3512696,139.15
2267 ngs,47.235332,-123.34983,137.5,4777.1,0.03,0.23,-1.7,-17.02,47.235144,-123.3510995,138.55
22670051,47.2355,-123.34983,137.5,4777.15,0.03,0.23,-1.66,-16.99,47.235312,-123.3510995,138.55
3544 ngs,47.236668,-123.34983,138.1,4776.71,0.02,0.23,-2.02,-17.43,47.23648,-123.3510995,139.15
4506 ngs,48.090832,-123.349,114.1,4834.1,0.1,1.77,-29.04,-40.11,48.0906453,-123.3502946,115.19
22672012,47.782501,-123.349,1782.2,4421.89,1.65,11.99,100.79,-86.56,47.7823131,-123.3502867,1783.51
2267 ngs,47.782333,-123.34883,1782.2,4421.9,1.55,12,100.82,-86.63,47.7821451,-123.3501167,1783.51
22670279,48.108166,-123.347,64.9,4846.78,0.06,1.4,-33.09,-38.99,48.1079794,-123.3482947,65.99
2267 ngs,48.108166,-123.34683,64.9,4846.8,0.06,1.4,-33.07,-38.97,48.1079794,-123.3481247,65.99
2267 ngs,47.796665,-123.34333,1356.4,4510.9,4.95,8.99,57.29,-81.95,47.7964773,-123.344617,1357.72
22672011,47.796665,-123.34333,1356.4,4510.89,4.95,8.99,57.28,-81.96,47.7964773,-123.344617,1357.72
4506 ngs,47.234833,-123.34033,140.3,4779.71,0.01,0.22,1.82,-13.85,47.2346449,-123.3415992,141.35
2267 ngs,48.074833,-123.33667,172.5,4821.8,0.04,2.05,-21.89,-39.35,48.0746464,-123.3379642,173.59
22671284,48.075001,-123.33667,172.5,4821.75,0.03,2.04,-21.95,-39.44,48.0748144,-123.3379642,173.59
4506 ngs,47.2915,-123.33366,170.3,4795.21,0.19,1.54,21.46,3.89,47.2913137,-123.3349302,171.36
2267 ngs,47.515835,-123.32917,239,4742.1,1.52,16.54,-30.7,-39.73,47.5156472,-123.3304458,240.14
22670179,47.515999,-123.32917,239,4742.05,1.56,16.6,-30.77,-39.69,47.5158112,-123.3304458,240.14
3544 ngs,47.134834,-123.32833,102.1,4796.6,0.05,0.08,15.96,4.51,47.1346486,-123.3295976,103.14
35440000,47.134998,-123.32833,102.1,4796.61,0.05,0.08,15.96,4.51,47.1348126,-123.3295976,103.14
22670056,47.135666,-123.328,100.9,4796.98,0.07,0.08,15.89,4.61,47.1354805,-123.3292676,101.94
4506 ngs,47.147167,-123.328,106.4,4793.9,0.06,0.05,13.47,1.52,47.1469812,-123.3292678,107.44
2267 ngs,47.135666,-123.32784,100.9,4797,0.08,0.08,15.91,4.64,47.1354805,-123.3291076,101.94
2267 ngs,47.381168,-123.32217,291.4,4783.4,0.41,2.24,38.91,8.54,47.3809802,-123.3234421,292.48
22670162,47.381168,-123.32217,291.4,4783.35,0.41,2.24,38.86,8.49,47.3809802,-123.3234421,292.48
22670029,47.0425,-123.321,46.3,4797.93,0.22,0.2,8.42,3.59,47.0423171,-123.3222662,47.33
2267 ngs,47.042332,-123.32083,46.3,4797.9,0.23,0.2,8.4,3.58,47.0421491,-123.3220961,47.33
22670161,47.354,-123.3195,239,4787.47,1.01,1.78,29.27,4.97,47.3538127,-123.3207713,240.07
2267 ngs,47.353832,-123.31934,239,4787.5,1.05,1.76,29.31,5.04,47.3536447,-123.3206113,240.07
5198 ngs,47.934834,-123.31834,1961.1,4403.1,10.12,30.56,123.41,-56.97,47.9346479,-123.3196309,1962.34
51980076,47.935001,-123.31834,1961.1,4403.12,10.15,30.62,123.41,-56.87,47.9348149,-123.3196309,1962.34
2267 ngs,47.983665,-123.31416,862.6,4672,2.31,6.31,49.31,-39.63,47.9834794,-123.3154524,863.75
22671287,47.983665,-123.31416,862.6,4671.96,2.31,6.31,49.27,-39.67,47.9834794,-123.3154524,863.75
2267 ngs,47.703335,-123.31416,1105.5,4547.4,3.18,10.62,24.86,-86.28,47.7031471,-123.3154427,1106.76
22672001,47.703335,-123.31416,1105.5,4547.4,3.18,10.62,24.86,-86.28,47.7031471,-123.3154427,1106.76
2267 ngs,47.809834,-123.31133,1171.7,4541.6,3.27,13.34,29.87,-85.92,47.8096467,-123.3126165,1173.01
22672010,47.810001,-123.31133,1171.7,4541.61,3.26,13.39,29.86,-85.88,47.8098137,-123.3126165,1173.01
51980104,47.634998,-123.308,1428.9,4489.21,2.06,8.35,72.53,-78.4,47.6348103,-123.3092798,1430.14
5198 ngs,47.634834,-123.30783,1428.9,4489.21,1.94,8.34,72.54,-78.51,47.6346463,-123.3091098,1430.14
22670165,47.415833,-123.307,286.2,4779.8,0.64,2.42,30.57,1.2,47.4156447,-123.3082724,287.29
2267 ngs,47.415833,-123.30683,286.2,4779.8,0.64,2.42,30.57,1.2,47.4156447,-123.3081024,287.29
5198 ngs,47.850166,-123.30666,2075.7,4360.6,11,25.02,123.85,-74.02,47.8499791,-123.3079477,2077.05
51980109,47.850166,-123.30666,2075.7,4360.6,11,25.02,123.85,-74.02,47.8499791,-123.3079477,2077.05
