sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
3498WG14,44.614502,-111.447,1999.1,4000.66,0.02,1.73,32.85,-190.71,44.6144236,-111.447791,2000.34
3498WG13,44.616333,-111.447,1994.9,4002.3,0.04,1.74,33.03,-190.03,44.6162546,-111.4477911,1996.14
3498 ngs,44.696335,-111.44683,2041.5,3992.21,0.25,3.78,30.06,-195.97,44.6962582,-111.4476216,2042.75
3498 ngs,44.610832,-111.44683,2008.3,3997.1,0.02,1.76,32.46,-192.1,44.6107535,-111.447621,2009.55
3498 ngs,44.614334,-111.44683,1999.1,4000.71,0.02,1.73,32.91,-190.64,44.6142556,-111.447621,2000.34
3498 ngs,44.616333,-111.44683,1994.9,4002.3,0.04,1.73,33.03,-190.04,44.6162546,-111.447621,1996.14
764 ngs,44.069832,-111.44667,1602,4044,0.03,-0.05,3.09,-177.71,44.0697461,-111.4474583,1603.08
764A017,44.07,-111.44667,1602,4043.97,0.03,-0.05,3.05,-177.75,44.0699141,-111.4474583,1603.08
5873 ngs,44.6175,-111.44667,1993.3,4003.5,0.03,1.72,33.63,-189.28,44.6174216,-111.447461,1994.54
3498 ngs,44.693333,-111.44617,2040.6,3992.6,0.1,3.35,30.44,-196.06,44.6932561,-111.4469615,2041.85
3498WG93,44.693501,-111.44617,2040.6,3992.62,0.1,3.38,30.45,-196.03,44.6934241,-111.4469615,2041.85
3004 ngs,44.071335,-111.44583,1603.2,4043.06,0.02,-0.05,2.39,-178.56,44.0712491,-111.4466183,1604.28
6755Q112,44.854,-111.44566,3038.8,3781.53,7.94,21.17,112.38,-199.88,44.8539254,-111.4464526,3040.11
3498 ngs,44.609833,-111.44566,2008,3996,0.03,1.78,31.35,-193.14,44.6097545,-111.4464509,2009.25
3498WG16,44.610001,-111.44566,2008,3996.04,0.03,1.77,31.38,-193.13,44.6099225,-111.446451,2009.25
5177 ngs,44.192833,-111.44534,1880.3,3988.3,0.16,0.15,22.04,-189.65,44.1927482,-111.4461288,1881.47
46870090,44.192833,-111.44517,1880.3,3988.35,0.16,0.15,22.09,-189.6,44.1927482,-111.4459588,1881.47
46870989,44.0825,-111.44517,1595.3,4046.57,0.09,0,2.45,-177.48,44.0824142,-111.4459583,1596.38
46870991,44.093166,-111.44517,1591,4048.21,0.01,0.05,1.8,-177.68,44.0930803,-111.4459584,1592.08
6755Q374,44.966667,-111.445,2901.7,3836.53,1.9,5.52,114.95,-203.74,44.9665947,-111.4457935,2903.23
3498 ngs,44.643333,-111.44483,1983,4007.4,0.29,1.9,32.02,-189.3,44.6432552,-111.4456211,1984.21
5873 ngs,44.487499,-111.44417,2040.6,3982.18,0.89,1.45,38.65,-188.96,44.487419,-111.4449601,2041.84
46870963,44.561333,-111.44417,3003.2,3772.24,6.95,19.32,118.62,-192.52,44.5612536,-111.4449606,3004.56
46870218,44.329334,-111.444,1867.5,4001.05,0.01,0.1,18.49,-191.96,44.329251,-111.4447894,1868.66
5873 ngs,44.560665,-111.444,3007.1,3772.37,7.06,19.37,120.01,-191.4,44.5605856,-111.4447906,3008.46
46870889,44.608833,-111.44366,2008.6,3995.39,0.03,1.79,31.02,-193.53,44.6087545,-111.4444509,2009.85
3498 ngs,44.608665,-111.44317,2005.8,3995.3,0.04,1.81,30.08,-194.13,44.6085865,-111.4439608,2007.05
3498WG01,44.608665,-111.44317,2005.8,3995.31,0.04,1.81,30.09,-194.12,44.6085865,-111.4439608,2007.05
3498WG81,44.689835,-111.443,2025,3995.08,0.08,3.31,28.43,-196.39,44.6897581,-111.4437914,2026.25
3498 ngs,44.689835,-111.44283,2025,3995.1,0.08,3.33,28.45,-196.35,44.6897581,-111.4436213,2026.25
46870363,44.446499,-111.4425,1934.2,3998.67,0.17,0.38,26.06,-191.42,44.4464183,-111.4432898,1935.4
46870095,44.218834,-111.4425,1860.5,3995.64,0.02,0.07,20.92,-188.77,44.2187495,-111.4432888,1861.66
3498 ngs,44.642834,-111.44234,1984.8,4005.9,0.14,1.73,31.12,-190.72,44.6427562,-111.443131,1986.01
34986512,44.643002,-111.44234,1984.8,4005.89,0.14,1.74,31.09,-190.73,44.6429242,-111.443131,1986.01
4687 ngs,44.642666,-111.442,1980.9,4006.66,0.15,1.75,30.69,-190.68,44.6425882,-111.442791,1982.11
6755Q375,44.957169,-111.442,2907.8,3835.6,0.63,5.49,116.75,-203.91,44.9570966,-111.4427933,2909.31
3498 ngs,44.691166,-111.44167,2040,3992.3,0.14,3.49,30.15,-196.1,44.6910892,-111.4424613,2041.26
3498WG91,44.691166,-111.44167,2040,3992.3,0.14,3.49,30.15,-196.1,44.6910892,-111.4424613,2041.26
46870093,44.211166,-111.4415,1861.7,3993.71,0.02,0.08,20.06,-189.76,44.2110815,-111.4422887,1862.86
3498WG02,44.608002,-111.4415,2002.5,3994.55,0.04,1.85,28.37,-195.42,44.6079236,-111.4422908,2003.75
3498 ngs,44.607834,-111.44133,2002.5,3994.6,0.04,1.86,28.44,-195.35,44.6077556,-111.4421207,2003.75
4687 ngs,44.504833,-111.44067,2185.1,3954.01,1.34,2,53.44,-189.34,44.5047526,-111.44146,2186.37
46870964,44.549168,-111.44033,2724.6,3845.46,1.04,6.92,107.11,-191.3,44.5490884,-111.4411203,2725.98
764A037,44.471668,-111.44,1940.7,3999.47,1.47,1.07,26.59,-189.64,44.4715879,-111.4407898,1941.92
764 ngs,44.471668,-111.43983,1940.7,3999.5,1.51,1.06,26.62,-189.58,44.4715879,-111.4406198,1941.92
6755Q376,44.942001,-111.43983,2871.2,3840.26,1.2,5.64,111.51,-204.36,44.9419283,-111.4406231,2872.7
4687 ngs,44.6535,-111.43916,1982.1,4010.93,0.12,2.04,34.35,-186.89,44.6534225,-111.4399509,1983.31
46870839,44.422832,-111.43916,1921.1,3994.75,0.01,0.23,20.25,-196.08,44.4227509,-111.4399496,1922.3
3498 ngs,44.582668,-111.43867,2441.4,3904.6,1.57,4.48,75.97,-192.76,44.5825891,-111.4394605,2442.7
3498G127,44.582668,-111.43867,2441.4,3904.57,1.57,4.48,75.94,-192.79,44.5825891,-111.4394605,2442.7
34986701,44.690334,-111.4385,2042.4,3991.46,0.14,3.65,30.13,-196.24,44.6902572,-111.4392912,2043.66
46870099,44.244667,-111.43833,1858.6,3998.92,0.07,0.08,21.28,-188.14,44.2445829,-111.4391188,1859.75
3498 ngs,44.690334,-111.43833,2042.4,3991.4,0.14,3.67,30.07,-196.28,44.6902572,-111.4391212,2043.66
3498 ngs,44.606335,-111.43833,1996.1,3994.8,0.08,2,26.8,-196.09,44.6062566,-111.4391206,1997.35
3498 ngs,44.691833,-111.43816,2051.6,3989.5,0.24,3.89,30.87,-196.19,44.6917563,-111.4389512,2052.86
3498WG83,44.692001,-111.43816,2051.6,3989.51,0.25,3.93,30.86,-196.14,44.6919243,-111.4389512,2052.86
3498WG82,44.693333,-111.438,2065,3986.92,0.29,4.09,32.28,-196.02,44.6932563,-111.4387912,2066.27
3498WG84,44.694832,-111.438,2084.5,3983.04,0.39,4.24,34.28,-195.96,44.6947553,-111.4387912,2085.77
3498 ngs,44.693333,-111.43784,2065,3986.9,0.31,4.12,32.26,-195.99,44.6932563,-111.4386311,2066.27
3498 ngs,44.694832,-111.43784,2084.5,3983,0.39,4.26,34.24,-195.98,44.6947553,-111.4386312,2085.77
5873  31,44.467834,-111.43767,1942.4,3999.28,0.66,0.84,27.27,-190.19,44.4677538,-111.4384597,1943.62
