#sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
3252 ngs,41.080833,-122.90984,2139,3717.71,20.57,13.29,111.7,-95.41,41.0806975,-122.9109818,2140.12
3252 ngs,41.794666,-122.90833,833.3,4030.6,2.38,3.91,-42.01,-129.98,41.7945221,-122.9094762,834.33
32520027,41.794666,-122.90833,833.3,4030.57,2.38,3.91,-42.04,-130.01,41.7945221,-122.9094762,834.33
3252 ngs,41.989834,-122.90683,1779.7,3877.4,1.91,7.79,79.01,-112.01,41.989685,-122.9079792,1780.86
32520053,41.990002,-122.90683,1779.7,3877.41,1.81,7.76,79,-112.14,41.989853,-122.9079792,1780.86
2713 ngs,41.536835,-122.90667,856.5,4020.8,0.12,1.81,-21.48,-116.43,41.5366954,-122.9078146,857.51
27130729,41.536835,-122.90667,856.5,4020.78,0.12,1.81,-21.5,-116.45,41.5366954,-122.9078146,857.51
2531 ngs,42.361668,-122.90667,394.7,4226.5,0.03,0.62,-32.4,-76.45,42.3615155,-122.9078223,395.71
2531 117,42.361668,-122.90667,394.7,4226.48,0.03,0.62,-32.42,-76.47,42.3615155,-122.9078223,395.71
2720 ngs,41.508667,-122.90583,864.5,4014.9,0.11,2.41,-22.39,-117.65,41.508528,-122.9069745,865.52
27200553,41.508667,-122.90583,864.5,4014.89,0.11,2.41,-22.4,-117.66,41.508528,-122.9069745,865.52
3252 ngs,41.493832,-122.90517,869.2,4014.71,0.24,3.04,-19.8,-114.83,41.493692,-122.9063144,870.22
32520384,41.493999,-122.90517,869.2,4014.69,0.24,3.03,-19.83,-114.87,41.493859,-122.9063144,870.22
27200554,41.551167,-122.905,855.8,4020.19,0.15,1.66,-23.6,-118.59,41.5510271,-122.9061446,856.81
2720 ngs,41.551167,-122.90483,855.8,4020.21,0.14,1.65,-23.58,-118.59,41.5510271,-122.9059746,856.81
22301358,42.863167,-122.90334,612.3,4226.64,0.4,1.56,-10.37,-77.72,42.8630106,-122.9045029,613.38
32520387,41.695335,-122.9025,1368.5,3922.81,4.8,3.73,24.15,-121.86,41.6951921,-122.9036451,1369.57
3252 ngs,41.695335,-122.90234,1368.5,3922.8,4.9,3.73,24.14,-121.77,41.6951921,-122.9034851,1369.57
4058 158,42.297001,-122.9015,471.1,4206.81,0.02,1.16,-22.7,-74.87,42.2968494,-122.9026508,472.12
4058 ngs,42.296833,-122.90134,471.1,4206.8,0.02,1.16,-22.69,-74.86,42.2966814,-122.9024908,472.12
27130875,41.481667,-122.9,871.1,4018.74,0.25,3.3,-14.09,-109.06,41.4815273,-122.9011443,872.11
5675 ngs,41.362499,-122.9,1010.1,3967.17,0.38,5.13,-12.1,-120.79,41.3623617,-122.9011439,1011.12
2713 ngs,41.481667,-122.89983,871.1,4018.71,0.21,3.28,-14.12,-109.15,41.4815273,-122.9009743,872.11
22301317,42.881832,-122.89983,410,4266.58,0.86,3.84,-34.5,-76.24,42.8816752,-122.9009929,411.07
22301495,42.535,-122.89933,423.4,4238.1,0,0.47,-27.56,-75.05,42.5348465,-122.900486,424.42
22301496,42.557999,-122.89917,463.6,4229.21,0.08,0.71,-26.13,-77.84,42.5578454,-122.9003266,464.62
3252 ngs,41.766666,-122.89716,1283.2,3945.21,1.14,4.01,13.84,-125.96,41.7665231,-122.8983054,1284.25
32520025,41.766666,-122.89716,1283.2,3945.19,1.14,4.01,13.82,-125.98,41.7665231,-122.8983054,1284.25
3252 ngs,41.663834,-122.89667,1028,3999.3,0.31,2.21,-1.51,-115.21,41.6636918,-122.8978148,1029.03
32520041,41.663834,-122.89667,1028,3999.29,0.31,2.21,-1.52,-115.22,41.6636918,-122.8978148,1029.03
2713 ngs,41.766167,-122.89667,1283.2,3945.21,1.16,3.98,13.89,-125.92,41.7660241,-122.8978154,1284.25
27130847,41.766167,-122.89667,1283.2,3945.19,1.16,3.98,13.87,-125.94,41.7660241,-122.8978154,1284.25
3252 ngs,41.599335,-122.89567,848.5,4028.3,0.28,2.12,-22.06,-115.64,41.5991942,-122.8968146,849.52
32520377,41.599499,-122.89567,848.5,4028.26,0.28,2.12,-22.12,-115.69,41.5993582,-122.8968146,849.52
27130768,41.457169,-122.895,892.5,4021.21,0.03,3.48,-2.82,-100.25,41.4570298,-122.896144,893.51
2713 ngs,41.457169,-122.89484,892.5,4021.21,0.03,3.46,-2.82,-100.27,41.4570298,-122.895984,893.51
32520028,41.841999,-122.894,513.5,4094.17,1.4,6.89,-81.31,-131.16,41.8418541,-122.8951465,514.5
3252 ngs,41.841835,-122.89384,513.5,4094.21,1.42,6.86,-81.26,-131.12,41.8416901,-122.8949865,514.5
2713 ngs,41.599667,-122.89333,848.6,4028.3,0.81,2.23,-22.06,-115.01,41.5995262,-122.8944745,849.62
27130878,41.599667,-122.89333,848.6,4028.35,0.81,2.23,-22.01,-114.96,41.5995262,-122.8944745,849.62
2713 ngs,41.663834,-122.89333,1028.1,3999.5,0.39,2.05,-1.28,-115.07,41.6636918,-122.8944747,1029.13
27130882,41.664001,-122.89333,1028.1,3999.51,0.37,2.06,-1.29,-115.08,41.6638588,-122.8944747,1029.13
32520539,41.457001,-122.8925,892.8,4021.12,0.03,3.23,-2.8,-100.51,41.4568619,-122.893644,893.81
3252 ngs,41.456833,-122.89233,892.8,4021.1,0.03,3.22,-2.81,-100.53,41.4566939,-122.893474,893.81
3252 ngs,41.019833,-122.89217,2237.8,3699.6,6.49,11.84,129.5,-104.19,41.0196978,-122.8933103,2238.95
32520312,41.02,-122.89217,2237.8,3699.65,6.26,11.82,129.54,-104.4,41.0198648,-122.8933103,2238.95
32520019,41.7285,-122.891,1833.3,3827.41,4.86,14.97,69.04,-117.85,41.7283564,-122.8921449,1834.37
3252 ngs,41.728333,-122.89083,1833.3,3827.4,4.8,14.94,69.05,-117.94,41.7281894,-122.8919749,1834.37
22301491,42.600334,-122.88917,832.7,4149.51,0.29,2.28,4.17,-87.45,42.6001805,-122.8903274,833.74
4058 ngs,42.294834,-122.88866,461.3,4205.71,0.14,1.18,-26.62,-77.55,42.2946826,-122.8898103,462.33
4058 959,42.294834,-122.88866,461.3,4205.72,0.14,1.18,-26.61,-77.54,42.2946826,-122.8898103,462.33
2713 ngs,41.513168,-122.88834,845.8,4029.1,0.02,1.88,-14.36,-108.13,41.5130292,-122.8894841,846.81
27130728,41.513168,-122.88834,845.8,4029.1,0.02,1.88,-14.36,-108.13,41.5130292,-122.8894841,846.81
2713 ngs,41.629833,-122.88834,827.5,4036.4,0.21,1.71,-23.18,-114.87,41.6296916,-122.8894845,828.52
27130735,41.629833,-122.88834,827.5,4036.42,0.21,1.71,-23.16,-114.85,41.6296916,-122.8894845,828.52
22302082,42.964333,-122.88734,340.2,4276.43,0.93,4.13,-53.62,-87.1,42.9641743,-122.888503,341.25
22302347,42.905666,-122.88667,737,4199.03,0.62,1.82,-3.36,-84.31,42.9055086,-122.8878326,738.06
22301327,42.523998,-122.88483,410.6,4235.82,0.11,0.41,-32.8,-78.79,42.5238446,-122.8859851,411.62
22301465,42.663334,-122.88367,930.2,4133.76,0.74,2.48,12.81,-89.16,42.6631805,-122.8848289,931.27
22301350,42.869335,-122.88267,439.2,4256.3,1.14,3.69,-34.65,-79.56,42.8691785,-122.8838321,440.27
2713 ngs,42.029335,-122.87666,2152.2,3817.1,1.15,13.54,129.96,-97.8,42.0291878,-122.8778083,2153.39
27131032,42.029499,-122.87666,2152.2,3817.1,1.14,13.54,129.94,-97.82,42.0293518,-122.8778083,2153.39
22302083,42.972332,-122.87666,345.9,4273.73,0.53,3.76,-55.29,-90.18,42.972173,-122.8778227,346.95
2531 ngs,42.149666,-122.87534,768.1,4118.9,1.27,5.04,-5.75,-86.34,42.1495162,-122.8764886,769.16
2531 132,42.149666,-122.87534,768.1,4118.9,1.27,5.04,-5.75,-86.34,42.1495162,-122.8764886,769.16
27330159,42.326668,-122.875,417.7,4214.03,0.02,0.83,-34.62,-81.08,42.3265163,-122.8761505,418.72
27131010,42.369499,-122.875,401.7,4221.68,0.01,0.57,-35.76,-80.68,42.3693467,-122.8761514,402.72
27130888,41.580833,-122.875,855.3,4021.24,3.32,2.01,-25.37,-116.78,41.5806929,-122.876144,856.31
2733 ngs,42.326668,-122.87483,417.7,4214,0.01,0.83,-34.65,-81.12,42.3265163,-122.8759805,418.72
2713 ngs,42.369335,-122.87483,401.7,4221.71,0.01,0.57,-35.72,-80.64,42.3691827,-122.8759814,402.72
2713 ngs,41.580833,-122.87483,855.3,4021.21,2.83,2,-25.4,-117.31,41.5806929,-122.875974,856.31
3252 ngs,41.278332,-122.87366,1475.5,3881.3,4.25,4.95,53.07,-104.3,41.278197,-122.8748026,1476.57
32520369,41.278332,-122.87366,1475.5,3881.33,4.25,4.95,53.1,-104.27,41.278197,-122.8748026,1476.57
22301494,42.547501,-122.87366,478.2,4220.03,0.06,0.42,-29.86,-83.53,42.5473477,-122.8748154,479.21
2665 ngs,42.369835,-122.87267,405.4,4221.9,0,0.56,-34.43,-79.79,42.3696827,-122.8738214,406.42
26650348,42.369999,-122.87267,405.4,4221.94,0,0.56,-34.41,-79.76,42.3698467,-122.8738214,406.42
22301349,42.862,-122.872,452.9,4249.82,1.07,3.86,-36.24,-82.6,42.8618436,-122.8731617,453.97
2713 ngs,41.393833,-122.87167,890.9,4007.5,0.29,3.86,-11.34,-107.95,41.3936954,-122.8728131,891.9
27130894,41.394001,-122.87167,890.9,4007.53,0.29,3.86,-11.32,-107.93,41.3938634,-122.8728131,891.9
22301346,42.809666,-122.87083,789.7,4180.66,0.7,2.16,3.18,-83.3,42.8095109,-122.8719912,790.78
1083,42.369999,-122.87,405.4,4222.21,0,0.57,-34.14,-79.48,42.3698468,-122.8711513,406.42
1083 ngs,42.369835,-122.86983,405.4,4222.21,0,0.57,-34.12,-79.47,42.3696828,-122.8709813,406.42
22301343,42.753166,-122.86967,891.2,4154.96,1.45,1.76,13.88,-83.7,42.7530123,-122.8708306,892.26
22301492,42.589001,-122.86967,651.4,4181.58,1.02,0.99,-18.64,-90.36,42.5888477,-122.8708263,652.43
3252 ngs,41.144833,-122.86967,2072.3,3734.5,4.44,13.13,102.19,-113.74,41.1446983,-122.870811,2073.38
32520315,41.144833,-122.86967,2072.3,3734.53,4.44,13.13,102.22,-113.71,41.1446983,-122.870811,2073.38
22301344,42.771999,-122.86867,1007.7,4134.48,0.36,1.82,27.62,-84.13,42.7718448,-122.8698308,1008.77
3252 ngs,41.897335,-122.86833,1258.5,3965.71,0.64,4.68,14.98,-121.87,41.8971889,-122.8694764,1259.54
22301463,42.689835,-122.86833,513,4221.96,1.2,2.42,-30.03,-84.5,42.6896816,-122.8694889,514.06
22301345,42.797001,-122.8675,870.2,4163.14,0.64,1.89,11.63,-84.26,42.7968462,-122.8686609,871.28
22301485,42.505333,-122.8675,411.5,4231.28,0.01,0.33,-35.38,-81.65,42.5051799,-122.868654,412.52
2713 ngs,41.624332,-122.86667,830,4034.1,0.08,1.77,-24.21,-116.25,41.624191,-122.8678139,831.02
27130883,41.624332,-122.86667,830,4034.11,0.08,1.77,-24.2,-116.24,41.624191,-122.8678139,831.02
22302348,42.896835,-122.86467,911.4,4155.23,0.41,2.38,7.41,-92.87,42.8966778,-122.8658317,912.45
