#sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
27130214,41.782833,-121.915,1324.4,3907.85,0.18,1.08,-12.27,-160.59,41.7827058,-121.9161151,1325.58
2713 ngs,41.561165,-121.91483,1508.2,3846.4,0.29,1.71,2.86,-165.38,41.5610413,-121.9159445,1509.43
2713 ngs,41.782833,-121.91483,1324.4,3907.8,0.19,1.08,-12.32,-160.63,41.7827058,-121.9159451,1325.58
5675 244,41.378834,-121.91417,1300.8,3876.16,0.14,1.87,-14.95,-159.86,41.3787129,-121.9152818,1301.97
2713 ngs,41.415668,-121.91333,1428,3854.8,0.06,1.74,-0.4,-159.83,41.415546,-121.9144425,1429.18
27130343,41.415668,-121.91333,1428,3854.81,0.06,1.74,-0.39,-159.82,41.415546,-121.9144425,1429.18
3578 ngs,41.966667,-121.91167,1291.7,3939.71,0.14,0.31,-7.03,-152.48,41.9665353,-121.9127854,1292.84
35781821,41.966667,-121.91167,1291.7,3939.66,0.14,0.31,-7.08,-152.53,41.9665353,-121.9127854,1292.84
5675 258,41.536335,-121.91,1605,3825.58,0.08,1.92,14.11,-165,41.5362119,-121.9111143,1606.24
2713 ngs,41.537834,-121.90984,1605.1,3826.4,0.08,1.88,14.83,-164.34,41.5377108,-121.9109543,1606.34
774822,41.331501,-121.909,1294.2,3876.14,0.91,2.8,-12.75,-155.23,41.331381,-121.9101106,1295.34
2713 ngs,41.429165,-121.90833,1447.5,3851,0.12,2.11,0.6,-160.59,41.4290426,-121.9094427,1448.7
27130344,41.429165,-121.90833,1447.5,3851.03,0.12,2.11,0.63,-160.56,41.4290426,-121.9094427,1448.7
27200758,41.382,-121.908,1336.4,3871.39,0.07,1.7,-9.02,-158.19,41.3818788,-121.9091117,1337.57
2720 ngs,41.381832,-121.90784,1336.4,3871.4,0.07,1.71,-9,-158.15,41.3817108,-121.9089517,1337.57
774819,41.335167,-121.90717,1390,3857.39,1.47,3.26,-2.3,-154.52,41.3350469,-121.9082807,1391.15
2713 ngs,41.411167,-121.90334,1422.2,3856.3,0.07,1.44,-0.28,-159.35,41.411045,-121.9044522,1423.38
